num_people|bikini/apparel|is_male|faces_visible|sale|edited|butt_pic|ocean|skate|drift_content|product_shot|lifestyle|in_shop|pro\model|in_nature|surf|url
1|b|0|0|0|0|0|0|0|0|0|1|0|0|0|0|https://www.instagram.com/p/Bea72XrnQsT/?taken-by=thedriftcollective
1|a|1|0|0|0|0|1|0|1|0|1|0|0|1|0|https://www.instagram.com/p/BeY8_ZalOa6/?taken-by=thedriftcollective
1|b|0|0|0|0|1|0|0|0|1|0|1|1|0|0|https://www.instagram.com/p/BeTdakGHCmh/?taken-by=thedriftcollective
3|a|1|0|0|0|0|1|0|0|0|1|0|0|1|1|https://www.instagram.com/p/BeN1t2onLY4/?taken-by=thedriftcollective
1|d|0|0|0|0|0|0|0|0|0|1|0|0|0|1|https://www.instagram.com/p/BeJA5cTnpPa/?taken-by=thedriftcollective
1|a|0|1|0|0|0|0|0|1|0|1|1|0|0|0|https://www.instagram.com/p/BeGfZm4HHLJ/?taken-by=thedriftcollective
0|d|0|0|0|0|0|1|0|1|0|1|0|0|1|0|https://www.instagram.com/p/BeDiqGOH0il/?taken-by=thedriftcollective
1|b|0|0|0|0|1|1|0|0|1|0|0|0|1|0|https://www.instagram.com/p/BeBk2rdnTo_/?taken-by=thedriftcollective
0|a|1|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/Bd8Nc4LnW4T/?taken-by=thedriftcollective
1|b|0|1|0|0|0|0|0|0|1|1|0|0|0|0|https://www.instagram.com/p/Bd5rjK9Hl9F/?taken-by=thedriftcollective
0|a|1|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/Bd2-EnEn5m-/?taken-by=thedriftcollective
1|d|1|1|0|0|0|0|0|1|0|1|0|0|0|1|https://www.instagram.com/p/Bd0IxZ5HXiU/?taken-by=thedriftcollective
1|a|0|1|0|0|0|0|0|0|1|0|1|0|0|0|https://www.instagram.com/p/Bdx07sun6fF/?taken-by=thedriftcollective
1|a|0|0|0|1|0|0|0|1|1|0|0|0|0|0|https://www.instagram.com/p/BdvF02znblm/?taken-by=thedriftcollective
1|a|1|0|0|0|0|0|1|1|0|1|0|0|0|0|https://www.instagram.com/p/Bdp2JSjnx9p/?taken-by=thedriftcollective
1|b|0|1|0|0|0|0|0|0|1|0|1|1|0|0|https://www.instagram.com/p/BdnFc6iH2jI/?taken-by=thedriftcollective
2|a|1|1|0|0|0|0|1|0|0|1|0|0|0|0|https://www.instagram.com/p/BdkrH7uHkpr/?taken-by=thedriftcollective
0|d|2|0|0|0|0|0|0|0|0|1|0|0|1|0|https://www.instagram.com/p/BdiDVyynAdH/?taken-by=thedriftcollective
0|a|0|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/Bddu_4Vn5pM/?taken-by=thedriftcollective
5|b|0|0|0|1|0|1|0|0|0|1|0|0|0|0|https://www.instagram.com/p/BdFyWJOnkVz/?taken-by=thedriftcollective
3|a|0|1|0|0|0|0|0|0|1|1|0|0|0|0|https://www.instagram.com/p/BdDrvIOn_nk/?taken-by=thedriftcollective
0|a|0|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/Bc-glipHgUX/?taken-by=thedriftcollective
1|a|1|0|0|0|0|1|0|1|1|1|0|0|1|1|https://www.instagram.com/p/Bc7ngZ3n1eM/?taken-by=thedriftcollective
5|d|1|1|1|1|0|1|0|0|0|1|0|0|0|1|https://www.instagram.com/p/Bc4zGw4np7e/?taken-by=thedriftcollective
15|d|2|0|0|0|0|0|0|0|0|1|0|0|0|0|https://www.instagram.com/p/Bc2PjwPHKb4/?taken-by=thedriftcollective
1|a|0|1|0|0|0|0|0|0|1|1|0|0|0|0|https://www.instagram.com/p/Bcx4Yr6HUZN/?taken-by=thedriftcollective
1|a|0|0|0|0|0|0|0|0|0|1|0|0|0|0|https://www.instagram.com/p/BcunPF3HIFw/?taken-by=thedriftcollective
0|a|1|0|0|0|0|0|0|0|1|0|1|0|0|0|https://www.instagram.com/p/Bcs1XcwHyBc/?taken-by=thedriftcollective
3|a|2|1|0|1|0|0|1|0|0|1|0|0|0|0|https://www.instagram.com/p/BcpP2G_lQ4V/?taken-by=thedriftcollective
