,Direct,Facebook,Instagram,Other,Search,total
2015-12-07,3.0,0.0,0.0,0.0,0.0,3.0
2015-12-08,8.0,0.0,0.0,0.0,1.0,9.0
2015-12-09,8.0,0.0,0.0,0.0,0.0,8.0
2015-12-10,29.0,160.0,0.0,0.0,0.0,189.0
2015-12-11,10.0,73.0,0.0,0.0,0.0,83.0
2015-12-12,14.0,29.0,0.0,1.0,0.0,44.0
2015-12-13,6.0,5.0,0.0,0.0,0.0,11.0
2015-12-14,8.0,2.0,0.0,0.0,1.0,11.0
2015-12-15,14.0,0.0,0.0,0.0,0.0,14.0
2015-12-16,6.0,0.0,0.0,0.0,0.0,6.0
2015-12-17,7.0,1.0,0.0,0.0,1.0,9.0
2015-12-18,2.0,0.0,0.0,0.0,1.0,3.0
2015-12-19,0.0,2.0,0.0,0.0,0.0,2.0
2015-12-20,2.0,0.0,0.0,0.0,0.0,2.0
2015-12-21,11.0,0.0,0.0,0.0,0.0,11.0
2015-12-22,8.0,1.0,0.0,0.0,0.0,9.0
2015-12-23,5.0,1.0,0.0,0.0,0.0,6.0
2015-12-24,5.0,0.0,0.0,0.0,1.0,6.0
2015-12-25,4.0,1.0,0.0,0.0,0.0,5.0
2015-12-26,3.0,1.0,0.0,0.0,0.0,4.0
2015-12-27,2.0,2.0,0.0,1.0,0.0,5.0
2015-12-28,5.0,0.0,0.0,0.0,1.0,6.0
2015-12-29,2.0,1.0,0.0,0.0,0.0,3.0
2015-12-30,9.0,0.0,0.0,0.0,0.0,9.0
2015-12-31,1.0,0.0,0.0,0.0,0.0,1.0
2016-01-01,5.0,0.0,0.0,0.0,0.0,5.0
2016-01-02,2.0,2.0,0.0,1.0,0.0,5.0
2016-01-03,5.0,0.0,0.0,0.0,0.0,5.0
2016-01-04,9.0,0.0,0.0,1.0,0.0,10.0
2016-01-05,11.0,1.0,0.0,0.0,0.0,12.0
2016-01-06,13.0,2.0,0.0,0.0,0.0,15.0
2016-01-07,4.0,1.0,0.0,0.0,1.0,6.0
2016-01-08,5.0,1.0,0.0,0.0,0.0,6.0
2016-01-09,4.0,1.0,0.0,0.0,0.0,5.0
2016-01-10,10.0,0.0,0.0,0.0,0.0,10.0
2016-01-11,9.0,1.0,0.0,0.0,1.0,11.0
2016-01-12,14.0,0.0,0.0,1.0,1.0,16.0
2016-01-13,11.0,2.0,0.0,1.0,0.0,14.0
2016-01-14,14.0,1.0,0.0,2.0,0.0,17.0
2016-01-15,7.0,1.0,0.0,6.0,0.0,14.0
2016-01-16,14.0,0.0,0.0,4.0,0.0,18.0
2016-01-17,13.0,0.0,0.0,4.0,0.0,17.0
2016-01-18,2.0,0.0,0.0,2.0,0.0,4.0
2016-01-19,3.0,0.0,0.0,1.0,0.0,4.0
2016-01-20,8.0,1.0,0.0,0.0,0.0,9.0
2016-01-21,9.0,0.0,0.0,1.0,0.0,10.0
2016-01-22,9.0,2.0,0.0,0.0,2.0,13.0
2016-01-23,9.0,4.0,0.0,0.0,2.0,15.0
2016-01-24,13.0,1.0,0.0,0.0,2.0,16.0
2016-01-25,9.0,2.0,0.0,0.0,4.0,15.0
2016-01-26,3.0,1.0,0.0,0.0,1.0,5.0
2016-01-27,10.0,1.0,0.0,0.0,2.0,13.0
2016-01-28,4.0,0.0,0.0,0.0,0.0,4.0
2016-01-29,9.0,0.0,0.0,0.0,4.0,13.0
2016-01-30,5.0,0.0,0.0,0.0,1.0,6.0
2016-01-31,5.0,0.0,0.0,0.0,3.0,8.0
2016-02-01,6.0,0.0,0.0,0.0,4.0,10.0
2016-02-02,4.0,10.0,0.0,0.0,2.0,16.0
2016-02-03,11.0,4.0,0.0,0.0,5.0,20.0
2016-02-04,5.0,0.0,0.0,0.0,1.0,6.0
2016-02-05,4.0,0.0,0.0,0.0,2.0,6.0
2016-02-06,8.0,1.0,0.0,0.0,2.0,11.0
